Density	GenerationsToStabilize
0,1	99
0,2	226
0,3	648
0,4	368
0,5	852



Generation	Density0.1	Density0.3	Density0.5
711					185
712					145
713					150
714					132
715					146
716					153
717					165
718					154
719					162
720					168
721					147
722					147
723					133
724					150
725					142
726					143
727					150
728					151
729					149
730					154
731					151
732					172
733					165
734					160
735					172
736					194
737					189
738					207
739					209
740					216
741					196
742					210
743					180
744					157
745					153
746					171
747					151
748					148
749					153
750					164
751					145
752					135
753					138
754					144
755					147
756					146
757					136
758					135
759					132
760					140
761					152
762					164
763					140
764					144
765					150
766					152
767					150
768					150
769					158
770					166
771					176
772					179
773					186
774					169
775					160
776					164
777					135
778					153
779					152
780					143
781					143
782					135
783					140
784					150
785					142
786					121
787					129
788					149
789					129
790					143
791					136
792					142
793					136
794					116
795					113
796					115
797					112
798					114
799					93
800					103
801					89
802					100
803					102
804					114
805					115
806					117
807					106
808					106
809					99
810					109
811					105
812					121
813					110
814					106
815					110
816					99
817					107
818					80
819					80
820					87
821					71
822					66
823					63
824					60
825					54
826					45
827					43
828					41
829					51
830					37
831					36
832					34
833					34
834					32
835					31
836					35
837					29
838					37
839					27
840					25
841					22
842					21
843					22
844					21
845					19
846					18
847					16
848					16
849					16
850					16
851					16
852					16
